date,population,population_2d,population_3d,precip,humidity,temp,windspeed,lw_avg_temp,lw_avg_humidity,lw_precip
2018_37,11062500.0,10875000.0,11183333.333333334,80.834,92.87142857142858,25.900000000000002,20.47142857142857,27.06190476190476,88.80952380952381,145.24899999999997
2018_38,10687500.0,11150000.0,11100000.0,32.999,78.01428571428572,27.82857142857143,16.542857142857144,27.004761904761907,86.47142857142858,159.94899999999998
2018_39,11012500.0,11400000.0,10166666.666666666,35.249,82.54285714285713,25.25714285714286,15.771428571428572,26.328571428571426,84.47619047619048,149.082
2018_40,11137500.0,9350000.0,8233333.333333333,24.614,80.05714285714285,26.97142857142857,19.928571428571427,26.685714285714283,80.2047619047619,92.86199999999998
2018_41,10250000.0,6850000.0,6566666.666666667,4.424,70.58571428571429,25.914285714285715,23.785714285714285,26.047619047619047,77.72857142857141,64.28699999999998
2018_42,9125000.0,6000000.0,5833333.333333333,45.44,81.68571428571428,18.914285714285715,25.085714285714285,23.933333333333334,77.44285714285714,74.47799999999998
2018_43,7675000.0,5750000.0,4700000.0,31.876,75.58571428571429,18.357142857142858,22.614285714285717,21.06190476190476,75.95238095238095,81.73999999999997
2018_44,6300000.0,4050000.0,3766666.6666666665,74.483,73.15714285714286,20.014285714285712,27.785714285714285,19.09523809523809,76.80952380952381,151.79899999999998
2018_45,5025000.0,2900000.0,3766666.6666666665,13.23,81.77142857142857,18.942857142857143,27.62857142857143,19.104761904761904,76.83809523809525,119.58899999999998
2018_46,4325000.0,4350000.0,4150000.0,5.465,70.11428571428571,10.214285714285714,24.614285714285717,16.39047619047619,75.01428571428572,93.17799999999997
2018_47,4200000.0,4625000.0,3983333.3333333335,15.856,76.95714285714287,14.12857142857143,22.728571428571428,14.428571428571429,76.28095238095239,34.55099999999997
2018_48,3762500.0,3225000.0,3050000.0,1.293,64.77142857142857,16.814285714285713,23.685714285714287,13.719047619047616,70.61428571428571,22.613999999999972
2018_49,3787500.0,2700000.0,2633333.3333333335,94.16499999999999,69.7,12.585714285714285,24.428571428571427,14.509523809523808,70.47619047619048,111.31399999999996
2018_50,3662500.0,2600000.0,2150000.0,14.939,66.01428571428572,12.757142857142856,24.0,14.05238095238095,66.82857142857144,110.39699999999996
2018_51,2912500.0,1875000.0,1583333.3333333333,1.229,69.65714285714286,14.271428571428572,25.571428571428573,13.204761904761902,68.45714285714286,110.33299999999997
2018_52,2287500.0,1125000.0,983333.3333333334,41.408,78.68571428571428,14.12857142857143,26.599999999999998,13.719047619047616,71.45238095238095,57.57599999999997
2019_01,1862500.0,850000.0,666666.6666666666,40.542,80.07142857142857,11.671428571428573,23.099999999999998,13.357142857142856,76.13809523809523,83.17899999999997
2019_02,1362500.0,500000.00000000006,500000.0,13.272,66.24285714285715,14.828571428571427,24.514285714285712,13.54285714285714,75.0,95.22199999999998
2019_03,812500.0,400000.0,516666.6666666667,12.362,72.71428571428571,12.071428571428571,25.62857142857143,12.857142857142854,73.0095238095238,66.17599999999997
2019_04,625000.0,625000.0,750000.0,22.587,69.72857142857143,11.357142857142858,25.014285714285712,12.752380952380951,69.56190476190477,48.220999999999975
2019_05,562500.0,875000.0,916666.6666666666,22.906,75.5,13.114285714285714,25.485714285714288,12.180952380952379,72.64761904761905,57.854999999999976
2019_06,637500.0,1000000.0,933333.3333333334,1.535,76.21428571428571,15.400000000000002,25.47142857142857,13.29047619047619,73.8142857142857,47.02799999999997
2019_07,812500.0,900000.0,866666.6666666666,11.504000000000001,75.74285714285715,17.271428571428572,27.32857142857143,15.26190476190476,75.81904761904762,35.94499999999997
2019_08,887500.0,800000.0,1033333.3333333334,10.043,69.82857142857142,14.242857142857144,25.057142857142857,15.638095238095238,73.92857142857143,23.081999999999972
2019_09,900000.0,1150000.0,1366666.6666666667,51.016000000000005,86.8,15.0,21.457142857142856,15.504761904761901,77.45714285714286,72.56299999999997
2019_10,1025000.0,1650000.0,1366666.6666666667,1.372,72.07142857142857,14.514285714285714,23.571428571428573,14.585714285714284,76.23333333333333,62.43099999999997
2019_11,1225000.0,1650000.0,1366666.6666666667,9.827,65.28571428571429,18.585714285714285,28.02857142857143,16.03333333333333,74.71904761904763,62.214999999999975
