COOPID, YEAR, MONTH, DAY, meanTemp
80211,1999,2,29,-99.90000
80211,1999,3,1,58.50000
80211,1999,3,2,61.00000
80211,1999,3,3,62.50000
80211,1999,3,4,51.50000
80211,1999,3,5,54.50000
80211,1999,3,6,57.50000
80211,1999,3,7,62.00000
80211,1999,3,8,59.50000
80211,1999,3,9,63.50000
80211,1999,3,10,63.50000
80211,1999,3,11,58.00000
80211,1999,3,12,60.00000
80211,1999,3,13,63.00000
80211,1999,3,14,59.50000
80211,1999,3,15,48.00000
80211,1999,3,16,56.00000
80211,1999,3,17,56.00000
80211,1999,3,18,59.00000
80211,1999,3,19,62.50000
80211,1999,3,20,66.00000
80211,1999,3,21,61.00000
80211,1999,3,22,60.00000
80211,1999,3,23,58.00000
80211,1999,3,24,61.50000
80211,1999,3,25,63.50000
80211,1999,3,26,62.00000
80211,1999,3,27,60.50000
80211,1999,3,28,61.50000
80211,1999,3,29,61.50000
80211,1999,3,30,59.00000
80211,1999,3,31,69.00000
80211,1999,4,1,69.50000
80211,1999,4,2,71.50000
80211,1999,4,3,73.50000
80211,1999,4,4,74.00000
80211,1999,4,5,73.50000
80211,1999,4,6,74.00000
80211,1999,4,7,74.00000
80211,1999,4,8,74.50000
80211,1999,4,9,75.00000
80211,1999,4,10,76.50000
80211,1999,4,11,75.00000
80211,1999,4,12,70.00000
80211,1999,4,13,67.50000
80211,1999,4,14,67.00000
80211,1999,4,15,66.50000
80211,1999,4,16,67.50000
80211,1999,4,17,66.50000
80211,1999,4,18,62.00000
80211,1999,4,19,62.00000
80211,1999,4,20,61.00000
80211,1999,4,21,62.50000
80211,1999,4,22,63.50000
80211,1999,4,23,69.50000
80211,1999,4,24,75.50000
80211,1999,4,25,78.00000
80211,1999,4,26,77.00000
80211,1999,4,27,78.50000
80211,1999,4,28,76.00000
80211,1999,4,29,68.00000
80211,1999,4,30,66.00000
80211,1999,5,1,64.50000
80211,1999,5,2,66.00000
80211,1999,5,3,69.00000
80211,1999,5,4,70.50000
80211,1999,5,5,72.00000
80211,1999,5,6,74.50000
80211,1999,5,7,76.50000
80211,1999,5,8,72.00000
80211,1999,5,9,74.00000
80211,1999,5,10,75.00000
80211,1999,5,11,80.00000
80211,1999,5,12,77.50000
80211,1999,5,13,72.50000
80211,1999,5,14,73.00000
80211,1999,5,15,74.50000
80211,1999,5,16,75.00000
80211,1999,5,17,75.50000
80211,1999,5,18,75.50000
80211,1999,5,19,76.50000
80211,1999,5,20,80.50000
80211,1999,5,21,80.00000
80211,1999,5,22,79.50000
80211,1999,5,23,78.00000
80211,1999,5,24,78.00000
80211,1999,5,25,79.50000
80211,1999,5,26,79.50000
80211,1999,5,27,79.00000
80211,1999,5,28,79.50000
80211,1999,5,29,80.50000
80211,1999,5,30,81.50000
80211,1999,5,31,81.00000
80211,1999,6,1,79.50000
80211,1999,6,2,80.00000
80211,1999,6,3,81.50000
80211,1999,6,4,81.00000
80211,1999,6,5,82.50000
80211,1999,6,6,80.50000
80211,1999,6,7,81.50000
80211,1999,6,8,81.50000
80211,1999,6,9,80.50000
80211,1999,6,10,80.50000
80211,1999,6,11,81.00000
80211,1999,6,12,81.00000
80211,1999,6,13,81.50000
80211,1999,6,14,82.50000
80211,1999,6,15,83.00000
80211,1999,6,16,80.50000
80211,1999,6,17,81.00000
80211,1999,6,18,81.50000
80211,1999,6,19,80.50000
80211,1999,6,20,81.00000
80211,1999,6,21,80.50000
80211,1999,6,22,80.50000
80211,1999,6,23,82.50000
80211,1999,6,24,80.50000
80211,1999,6,25,78.50000
80211,1999,6,26,81.00000
80211,1999,6,27,81.00000
80211,1999,6,28,81.50000
80211,1999,6,29,83.50000
80211,1999,6,30,84.00000
80211,1999,7,1,84.00000
80211,1999,7,2,83.50000
80211,1999,7,3,85.00000
80211,1999,7,4,85.00000
80211,1999,7,5,84.50000
80211,1999,7,6,83.50000
80211,1999,7,7,78.50000
80211,1999,7,8,82.00000
80211,1999,7,9,85.50000
80211,1999,7,10,85.00000
